Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,131,-55.485,90,top
C1,1uF,C_0402_1005Metric,158.5,-55.485,90,top
C1,1uF,C_0402_1005Metric,131,-70.985,90,top
C1,1uF,C_0402_1005Metric,158.5,-70.985,90,top
C1,1uF,C_0402_1005Metric,131,-86.485,90,top
C1,1uF,C_0402_1005Metric,158.5,-86.485,90,top
C2,22u,C_0603_1608Metric,152.7,-80.3125,90,top
C2,22u,C_0603_1608Metric,125.2,-80.3125,90,top
C2,22u,C_0603_1608Metric,152.7,-64.8125,90,top
C2,22u,C_0603_1608Metric,125.2,-64.8125,90,top
C2,22u,C_0603_1608Metric,152.7,-49.3125,90,top
C2,22u,C_0603_1608Metric,125.2,-49.3125,90,top
C3,10n,C_0402_1005Metric,126.3,-48.365,90,top
C3,10n,C_0402_1005Metric,153.8,-79.365,90,top
C3,10n,C_0402_1005Metric,126.3,-79.365,90,top
C3,10n,C_0402_1005Metric,153.8,-63.865,90,top
C3,10n,C_0402_1005Metric,126.3,-63.865,90,top
C3,10n,C_0402_1005Metric,153.8,-48.365,90,top
C4,100nF,C_0402_1005Metric,157.3,-55.515,90,top
C4,100nF,C_0402_1005Metric,129.8,-55.515,90,top
C4,100nF,C_0402_1005Metric,157.3,-86.515,90,top
C4,100nF,C_0402_1005Metric,129.8,-86.515,90,top
C4,100nF,C_0402_1005Metric,157.3,-71.015,90,top
C4,100nF,C_0402_1005Metric,129.8,-71.015,90,top
C5,1uF,C_0402_1005Metric,156.8,-84.415,90,top
C5,1uF,C_0402_1005Metric,129.3,-84.415,90,top
C5,1uF,C_0402_1005Metric,156.8,-68.915,90,top
C5,1uF,C_0402_1005Metric,156.8,-53.415,90,top
C5,1uF,C_0402_1005Metric,129.3,-53.415,90,top
C5,1uF,C_0402_1005Metric,129.3,-68.915,90,top
C6,22u,C_0603_1608Metric,161.5,-64.7125,90,top
C6,22u,C_0603_1608Metric,134,-64.7125,90,top
C6,22u,C_0603_1608Metric,134,-49.2125,90,top
C6,22u,C_0603_1608Metric,161.5,-80.2125,90,top
C6,22u,C_0603_1608Metric,134,-80.2125,90,top
C6,22u,C_0603_1608Metric,161.5,-49.2125,90,top
